Total: 118960
staffroom : 2680
inv : 2
announcements : 14
rules : 2
birthdays : 13
colours : 19
self-roles : 7
🌱-talk : 21046
🌿-kpop : 3651
🍃-anime : 1766
🐉-gaming : 662
🌵-journaling : 1350
🎋-fanart : 345
🖥-bots : 66445
📹pokemon-spam : 1599
🕹-boxbot-arena : 1544
📞-userphone : 9950
🧞-akinator : 2809
⏱-counting : 1511
🏙-kpop-idols-fem : 144
🌃-kpop-idols-male : 366
🌆-anime-bois : 179
🌌-anime-gorls : 60
🏞-animals : 251
music : 240
positive-things-owo : 152
memes : 170
venting : 1808
suggestions : 0
💦-nsfw : 175


Excluded Channels: log-hell, developers-bot-hell, bots, pokemon-spam, boxbot-arena, userphone, akinator, bump, welcome, good-bye
