Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:47 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246798019788813 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:47 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246799496183808 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:48 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246800330850324 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:52 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246817699332137 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:52 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246818362949653 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:52 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246818916466718 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:52 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246819470245898 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:52 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246820434018335 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:57 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246839736729611 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:57 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246840369414144 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 00:09:57 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826246841506332702 | Message Content: 
