Total: 37133
staffroom : 2682
inv : 2
announcements : 19
rules : 2
birthdays : 13
colours : 19
self-roles : 7
🌱-talk : 21342
🌿-kpop : 3653
🍃-anime : 1766
🐉-gaming : 662
🌵-journaling : 1350
🎋-fanart : 345
⏱-counting : 1511
🏙-kpop-idols-fem : 144
🌃-kpop-idols-male : 366
🌆-anime-bois : 179
🌌-anime-gorls : 60
🏞-animals : 251
music : 240
positive-things-owo : 154
memes : 170
venting : 1960
suggestions : 0
💦-nsfw : 236


Excluded Channels: log-hell, developers-bot-hell, 🖥-bots, 📹pokemon-spam, 🕹-boxbot-arena, 📞-userphone, 🧞-akinator, bump, welcome, good-bye
