Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:19:37 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264372857798687 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:17 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264540043935765 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:19 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264547588440064 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:20 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264554152394772 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:22 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264559349661746 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:23 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264563216678942 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:27 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264582385041457 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:38 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264628236910612 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:38 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264629416165417 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:55 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264699615444993 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:20:56 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264702790533130 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:11 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264765956882442 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:12 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264769380089867 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:29 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264842540810251 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:30 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264845586399233 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:31 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264848957964338 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:48 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264921834258524 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:53 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264942005059614 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:54 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264946546835457 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:56 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264956403843073 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:57 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264958680563784 | Message Content: 
Author Name: Elevator Logger | Author Nickname: MegaLogger (sl!) | Author ID: 733474240854097920 | Sent At: 2021-03-30 01:21:59 UTC | Channel Name: log-hell | Channel ID: 725438062296826027 | Message ID: 826264968550547519 | Message Content: 
