Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700394564288522 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700395026317342 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700395953651712 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700398641676300 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:22 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700436385693717 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:23 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700439280025602 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:25 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700446784421928 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:33 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700481664122891 | Message Content: hey put the snakes back
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-10-27 17:28:45 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700532838957067 | Message Content: I'm headed to the washroom
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:52 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700562349031474 | Message Content: put them back
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:28:55 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700573577969714 | Message Content: wait
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:03 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700607110512750 | Message Content: s1!togglesnek
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700642691842078 | Message Content: S!mems
Author Name: CGC1D1-B4 Main | Author Nickname: Earl (s!) | Author ID: 762727362864480327 | Sent At: 2020-10-27 17:29:12 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700643224256532 | Message Content: Invalid Command, no commands with greater than 55% similarity found.
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:21 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700683938496572 | Message Content: s1!togglesnek
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:24 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700695291691018 | Message Content: oh no
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:27 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700705387380758 | Message Content: well
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:30 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700719376433202 | Message Content: back to the oofs
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:31 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700724220723271 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:32 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700730067451976 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:33 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700730905657354 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:33 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700732856270910 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:37 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700749784743946 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:38 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700752791928833 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:39 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700755609845804 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:39 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700759183654982 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:40 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700761985843260 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:41 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700764481191967 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:41 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700767282987028 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:43 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700772143792138 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:43 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700772584849429 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:43 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700775587840040 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:44 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700778758864956 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:45 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700781137559643 | Message Content: oo
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:45 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700783355297793 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:52 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700813642498090 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:29:53 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700817069506621 | Message Content: oof
